Amazon Afghanistan
Amazon Albania
Amazon Algeria
Amazon Andorra
Amazon Angola
Amazon AntiguaandBarbuda
Amazon Argentina
Amazon Armenia
Amazon Australia
Amazon Austria
Amazon Azerbaijan
Amazon Bahamas
Amazon Bahrain
Amazon Bangladesh
Amazon Barbados
Amazon Belarus
Amazon Belgium
Amazon Belize
Amazon Benin
Amazon Bhutan
Amazon Bolivia
Amazon BosniaandHerzegovina
Amazon Botswana
Amazon Brazil
Amazon Brunei
Amazon Bulgaria
Amazon BurkinaFaso
Amazon Burundi
Amazon Coted Ivoire
Amazon CaboVerde
Amazon Cambodia
Amazon Cameroon
Amazon Canada
Amazon CentralAfricanRepublic
Amazon Chad
Amazon Chile
Amazon China
Amazon Colombia
Amazon Comoros
Amazon Congo(Congo-Brazzaville)
Amazon CostaRica
Amazon Croatia
Amazon Cuba
Amazon Cyprus
Amazon Czechia(CzechRepublic)
Amazon DemocraticRepublicoftheCongo
Amazon Denmark
Amazon Djibouti
Amazon Dominica
Amazon DominicanRepublic
Amazon Ecuador
Amazon Egypt
Amazon ElSalvador
Amazon EquatorialGuinea
Amazon Eritrea
Amazon Estonia
Amazon Eswatini(fmr."Swaziland")
Amazon Ethiopia
Amazon Fiji
Amazon Finland
Amazon France
Amazon Gabon
Amazon Gambia
Amazon Georgia
Amazon Germany
Amazon Ghana
Amazon Greece
Amazon Grenada
Amazon Guatemala
Amazon Guinea
Amazon Guinea-Bissau
Amazon Guyana
Amazon Haiti
Amazon HolySee
Amazon Honduras
Amazon Hungary
Amazon Iceland
Amazon India
Amazon Indonesia
Amazon Iran
Amazon Iraq
Amazon Ireland
Amazon Israel
Amazon Italy
Amazon Jamaica
Amazon Japan
Amazon Jordan
Amazon Kazakhstan
Amazon Kenya
Amazon Kiribati
Amazon Kuwait
Amazon Kyrgyzstan
Amazon Laos
Amazon Latvia
Amazon Lebanon
Amazon Lesotho
Amazon Liberia
Amazon Libya
Amazon Liechtenstein
Amazon Lithuania
Amazon Luxembourg
Amazon Madagascar
Amazon Malawi
Amazon Malaysia
Amazon Maldives
Amazon Mali
Amazon Malta
Amazon MarshallIslands
Amazon Mauritania
Amazon Mauritius
Amazon Mexico
Amazon Micronesia
Amazon Moldova
Amazon Monaco
Amazon Mongolia
Amazon Montenegro
Amazon Morocco
Amazon Mozambique
Amazon Myanmar(formerlyBurma)
Amazon Namibia
Amazon Nauru
Amazon Nepal
Amazon Netherlands
Amazon NewZealand
Amazon Nicaragua
Amazon Niger
Amazon Nigeria
Amazon NorthKorea
Amazon NorthMacedonia
Amazon Norway
Amazon Oman
Amazon Pakistan
Amazon Palau
Amazon PalestineState
Amazon Panama
Amazon PapuaNewGuinea
Amazon Paraguay
Amazon Peru
Amazon Philippines
Amazon Poland
Amazon Portugal
Amazon Qatar
Amazon Romania
Amazon Russia
Amazon Rwanda
Amazon SaintKittsandNevis
Amazon SaintLucia
Amazon SaintVincentandtheGrenadines
Amazon Samoa
Amazon SanMarino
Amazon SaoTomeandPrincipe
Amazon SaudiArabia
Amazon Senegal
Amazon Serbia
Amazon Seychelles
Amazon SierraLeone
Amazon Singapore
Amazon Slovakia
Amazon Slovenia
Amazon SolomonIslands
Amazon Somalia
Amazon SouthAfrica
Amazon SouthKorea
Amazon SouthSudan
Amazon Spain
Amazon SriLanka
Amazon Sudan
Amazon Suriname
Amazon Sweden
Amazon Switzerland
Amazon Syria
Amazon Tajikistan
Amazon Tanzania
Amazon Thailand
Amazon Timor-Leste
Amazon Togo
Amazon Tonga
Amazon TrinidadandTobago
Amazon Tunisia
Amazon Turkey
Amazon Turkmenistan
Amazon Tuvalu
Amazon Uganda
Amazon Ukraine
Amazon UnitedArabEmirates
Amazon UnitedKingdom
Amazon UnitedStatesofAmerica
Amazon Uruguay
Amazon Uzbekistan
Amazon Vanuatu
Amazon Venezuela
Amazon Vietnam
Amazon Yemen
Amazon Zambia
Amazon Zimbabwe
